otar_id,name,status,Decyzja,description_500,znaki,Uwagii WB,Uwagi Gosi,Uwagi Przemek
K01.20.10.75GNCV,Pałac w Gardzienicach,ok,,"Pałac w Gardzienicach rozwinął się z XIV-wiecznej warowni, złożonej później z dwóch kamiennych wież połączonych murem kurtynowym. Od XVI w. Orzechowscy przekształcali ją w renesansowy dwór, a pod koniec XVII lub na początku XVIII w. Potoccy rozbudowali założenie w barokowy pałac. Obecnie zespół zachował pałac, część dawnego dworu, budynki gospodarcze i park, a w jego architekturze czytelne są relikty starszej zabudowy obronnej.",431,,,
K01.30.10.YCQ9RP,Zamek w Janowcu,ok,,"Zamek w Janowcu wzniesiono w XVI w. jako renesansową rezydencję obronną rodu Firlejów. Założenie obejmowało wieloskrzydłową zabudowę skupioną wokół dziedzińca, mury obronne, baszty i bramę, a w kolejnych stuleciach było rozbudowywane w stylu manierystycznym i barokowym. Po stopniowym upadku w XIX–XX w. zamek zabezpieczono. Obecnie zachował się jako malownicza ruina i oddział Muzeum Nadwiślańskiego.",401,,,
K01.20.10.LLDES2,Pałac w Szklarach Górnych,ok,,"Pałac w Szklarach Górnych wzniesiono w XVIII w. w miejscu zamku, który pełnił funkcję strażnicy granicznej.  jako reprezentacyjną rezydencję szlachecką. Budowla była później przebudowywana, zyskując formy historyzujące i rozbudowany układ rezydencjonalny. Pałac otacza park krajobrazowy związany z dawnym majątkiem ziemskim. Obecnie obiekt jest zachowany i stanowi element zabytkowego zespołu pałacowo-parkowego.",412,wystawiony na sp[rzedaz,,już uwzględnione
K01.30.10.T11S8E,Zamek Wielisławka,ok,,Zamek w Wielisławiu Złotoryjskim powstał prawdopodobnie w średniowieczu jako niewielka warownia rycerska na skalistym wzgórzu. Założenie wykorzystywało naturalne walory obronne terenu i obejmowało murowane elementy obwodu obronnego oraz zabudowę mieszkalną. Zamek został zniszczony i nie był później odbudowany. Obecnie zachowały się jedynie słabo czytelne relikty murów i fundamentów dawnej warowni.,400,,nie widzę obiektu,są ślady
K01.30.10.2DDPXA,Zamek w Lipienku,ok,,"Zamek w Lipienku wzniesiono w XIII–XIV w. jako gotycką warownię krzyżacką i siedzibę komtura. Założenie obejmowało zamek wysoki z dziedzińcem, skrzydłami mieszkalno-gospodarczymi, murami obronnymi i wieżami oraz rozległe przedzamcze. Po wojnach polsko-krzyżackich utracił znaczenie i stopniowo popadał w ruinę. Obecnie zachowały się jedynie relikty murów i fundamentów dawnego zamku.",383,,nie widzę obiektu,są ślady
K01.30.10.T4V55B,Zamek w Radzyniu Chełmińskim,ok,,"Zamek w Radzyniu Chełmińskim wzniesiono w XIII–XIV w. jako gotycką warownię krzyżacką i siedzibę komtura. Założenie obejmowało regularny zamek wysoki z wewnętrznym dziedzińcem, czterema skrzydłami, narożnymi wieżami oraz rozległym przedzamczem. Po zniszczeniach i rozbiórkach w XVIII–XIX w. popadł w ruinę. Obecnie zachowały się monumentalne mury, wieże i fragmenty skrzydeł, a ruiny są zabezpieczone i udostępnione turystycznie.",429,,,
K01.30.10.VYZEUC,Zamek w Międzylesie,ok,,"Zamek w Międzylesiu powstał w średniowieczu jako siedziba rycerska, a w XVI w. został przebudowany w renesansową rezydencję. Założenie rozbudowywano w kolejnych stuleciach, tworząc wieloskrzydłowy zespół z dziedzińcem, wieżą i reprezentacyjnymi wnętrzami. W architekturze widoczne są elementy renesansowe i barokowe. Obecnie zamek jest zachowany, użytkowany i pełni funkcje hotelowe oraz turystyczne.",400,hotel,,da sie zwiedzać
K01.30.10.641KHG,Zamek w Czernej,ok,,"Zamek w Czernej powstał prawdopodobnie w XVI w. jako renesansowa rezydencja o cechach obronnych. Murowane założenie miało zwarty układ z budynkiem mieszkalnym, dziedzińcem i elementami fortyfikacyjnymi. W kolejnych stuleciach obiekt był przebudowywany i stopniowo tracił pierwotny charakter. Obecnie zachowane fragmenty dawnego zamku pozostają częścią historycznego zespołu rezydencjonalnego.",392,hotel,,
K01.30.10.WND6XY,Zamek w Starej Kamienicy,ok,,"Zamek w Starej Kamienicy wzniesiono z kamienia na planie zbliżonym do prostokąta 37 × 55 m. W XVI w. przebudowano go w stylu renesansowym; miał dwa skrzydła, basztę, dziedziniec z krużgankiem, fosę i kamienny most. Po pożarze w 1757 r. nie został odbudowany i popadł w ruinę. Obecnie zachowały się wieża, fundamenty, piwnice i most; część elementów zrekonstruowano, a ruiny są udostępnione do zwiedzania.",404,,,
K01.30.10.5FVSNP,Zamek Grodno,ok,,"Zamek Grodno w Zagórzu Śląskim wzniesiono w XIII w. jako warownię książęcą, później wielokrotnie rozbudowywaną. Założenie obejmuje zamek górny i dolny, dziedzińce, mury obronne, bramy, wieżę i zabudowę mieszkalną, dostosowane do skalistego wzgórza. W XVI w. otrzymał formy renesansowe. Po okresie częściowego upadku został zabezpieczony i odrestaurowany. Obecnie jest dobrze zachowany i udostępniony turystycznie.",413,,,
